DATE,SCHED_TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STRING_STATUS,STATUS,DEP_TIME,DEP_DIFF
29/03/2023,8:15,KQ532,Lagos (LOS),Kenya Airways,B738 (5Y-CYA),,Departed,7:47:00,-28
29/03/2023,8:20,PW718,Kilimanjaro (JRO),Precision Air,AT7,,Unknown,0:00:00,-500
29/03/2023,8:25,JM8712,Mombasa (MBA),Jambojet,DH8D (5Y-JXI),,Departed,8:27:00,2
29/03/2023,8:35,KQ654,Kisumu (KIS),Kenya Airways,E90,,Departed,8:45:00,10
29/03/2023,9:00,JM8684,Lamu (LAU),Jambojet,DH8D (5Y-JXD),,Departed,9:06:00,6
29/03/2023,9:10,JM8652,Kisumu (KIS),Jambojet,DH8D (5Y-JXB),,Departed,9:15:00,5
29/03/2023,9:10,KQ116,Amsterdam (AMS),Kenya Airways,B788 (5Y-KZA),,Departed,9:41:00,31
29/03/2023,9:20,KQ100,London (LHR),Kenya Airways (Come Live The Magic Livery),B788 (5Y-KZD),,Departed,9:45:00,25
29/03/2023,9:30,4F101,Mogadishu (MGQ),Freedom Airline Express,CRJ,,Unknown,0:00:00,-570
29/03/2023,9:40,5H1411,Malindi (MYD),Fly540,DH8,,Unknown,0:00:00,-580
29/03/2023,10:10,JM8690,Ukunda (UKA),Jambojet,DH8D (5Y-JXM),,Departed,10:32:00,22
29/03/2023,10:20,KQ604,Mombasa (MBA),Kenya Airways,E90,,Departed,10:23:00,3
29/03/2023,10:45,JM8604,Mombasa (MBA),Jambojet,DH8D (5Y-JXH),,Departed,11:14:00,29
29/03/2023,11:30,KQ510,Accra (ACC),Kenya Airways,B738 (5Y-CYC),,Departed,11:46:00,16
29/03/2023,11:40,JM8540,Goma (GOM),Jambojet,DH8D (5Y-JXC),,Departed,12:06:00,26
29/03/2023,11:45,ET319,Addis Ababa (ADD),Ethiopian Airlines,B77W (ET-APY),,Unknown,0:00:00,-705
29/03/2023,12:00,KQ264,Moroni (HAH),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),,Departed,12:36:00,36
29/03/2023,12:00,KQ2412,Entebbe (EBB),Kenya Airways,73Y,,Unknown,0:00:00,-720
29/03/2023,12:10,JM8662,Eldoret (EDL),Jambojet,DH8D (5Y-JXB),,Departed,12:26:00,16
29/03/2023,12:10,KQ254,Dzaoudzi (DZA),Kenya Airways (Come Live The Magic Livery),E190 (5Y-FFJ),,Departed,12:33:00,23
29/03/2023,12:15,KQ256,Antananarivo (TNR),Kenya Airways,E190 (5Y-FFC),,Departed,12:28:00,13
29/03/2023,12:20,JM8716,Mombasa (MBA),Jambojet,DH8D (5Y-JXD),,Departed,20:10:00,50
29/03/2023,12:20,KQ756,Lilongwe (LLW),Kenya Airways,E190 (5Y-FFH),,Departed,12:39:00,19
29/03/2023,12:35,KQ762,Johannesburg (JNB),Kenya Airways,B788 (5Y-KZF),,Departed,12:45:00,10
